# Sitemap-to-Prerender Comparison
# Generated: 2026-03-11
# Sitemap total:  128 URLs
# Prerendered:     98 routes (static HTML in dist/)
# Dynamic (JS):    30 routes (blog posts — fetched from Supabase at runtime)
#
# PRERENDERED = static index.html exists in artifact dist/
# DYNAMIC     = rendered client-side via React; content fetched from Supabase DB
#               Requires JS to display content; no static HTML stub for the post body.
#               The /blog index page IS prerendered; individual posts are not.
#
# Note: /blog/... posts intentionally omit static prerender because post content
# is authored in Supabase and can change without a redeploy. The SPA shell at
# dist/blog/index.html handles routing and hydration for all post URLs.
# These are valid for GSC indexing only after JS execution.
#
# FORMAT: STATUS  /path

# --- CORE PAGES (prerendered) ---
PRERENDERED  /
PRERENDERED  /about
PRERENDERED  /blog
PRERENDERED  /color-consultation
PRERENDERED  /contact
PRERENDERED  /do-not-sell
PRERENDERED  /faq
PRERENDERED  /financing
PRERENDERED  /gallery
PRERENDERED  /privacy
PRERENDERED  /service-areas
PRERENDERED  /services
PRERENDERED  /terms
PRERENDERED  /testimonials

# --- SERVICE PAGES (prerendered) ---
PRERENDERED  /services/cabinet-refinishing
PRERENDERED  /services/commercial
PRERENDERED  /services/exterior-painting
PRERENDERED  /services/interior-painting

# --- GUIDES (prerendered) ---
PRERENDERED  /guides/best-paint-texas-heat
PRERENDERED  /guides/hoa-color-tips-austin
PRERENDERED  /guides/how-often-paint-central-texas
PRERENDERED  /guides/painting-costs-austin

# --- SERVICE AREAS HUB + CITY PAGES (prerendered) ---
PRERENDERED  /service-areas/austin
PRERENDERED  /service-areas/lakeway
PRERENDERED  /service-areas/northwest-hills
PRERENDERED  /service-areas/tarrytown
PRERENDERED  /service-areas/west-lake-highlands
PRERENDERED  /service-areas/west-lake-hills

# --- LOCATION SERVICE PAGES (prerendered) ---
PRERENDERED  /cabinet-refinishing-lakeway
PRERENDERED  /cabinet-refinishing-northwest-hills
PRERENDERED  /cabinet-refinishing-tarrytown
PRERENDERED  /cabinet-refinishing-west-lake-highlands
PRERENDERED  /commercial-painting-lakeway
